"","X","id","t0","L1","L2","L3","A","Y"
"258",258,37,1,1,-1.47091405823733,NA,1,NA
"259",259,37,2,NA,NA,NA,NA,-2.51016265441422
"264",264,38,0,3,-1.5488095774097,5,1,NA
"265",265,38,1,2,-1.58151237932902,NA,1,NA
"266",266,38,2,NA,NA,NA,NA,-2.62937175815946
"271",271,39,0,2,-1.42675015577772,5,1,NA
"272",272,39,1,3,-1.6086878721722,NA,1,NA
"273",273,39,2,NA,NA,NA,NA,-5.35508144240244
"278",278,40,0,2,-1.49971278772563,5,1,NA
"279",279,40,1,2,-1.29432759356589,NA,0,NA
"280",280,40,2,NA,NA,NA,NA,-3.53252201004239
"285",285,41,0,1,-1.6626869750177,8,1,NA
"286",286,41,1,3,-1.38557352148816,NA,1,NA
"287",287,41,2,NA,NA,NA,NA,-3.54241770371624
"292",292,42,0,1,0.600794843527425,8,1,NA
"293",293,42,1,2,-1.55447601997108,NA,1,NA
"294",294,42,2,NA,NA,NA,NA,-5.42621702107304
"299",299,43,0,2,-1.56084477201535,9,1,NA
"300",300,43,1,3,-1.57734383699252,NA,1,NA
"301",301,43,2,NA,NA,NA,NA,-4.7882608386594
"306",306,44,0,1,-1.70775150880976,9,1,NA
"307",307,44,1,2,-1.43556306355052,NA,1,NA
"308",308,44,2,NA,NA,NA,NA,-4.65812575829273
"313",313,45,0,2,-1.38041371553071,10,1,NA
"314",314,45,1,2,-1.46339053321006,NA,1,NA
"315",315,45,2,NA,NA,NA,NA,-2.69246575462648
"320",320,46,0,3,-1.62173192087017,8,1,NA
"321",321,46,1,2,-1.37437335278415,NA,0,NA
"322",322,46,2,NA,NA,NA,NA,-4.54170187801797
"327",327,47,0,3,-1.64146019123249,5,1,NA
"328",328,47,1,3,-1.50758055810578,NA,1,NA
"329",329,47,2,NA,NA,NA,NA,-5.33929695828726
"334",334,48,0,2,0.48086805098477,7,1,NA
"335",335,48,1,3,-1.54780766816146,NA,0,NA
"336",336,48,2,NA,NA,NA,NA,-4.3980366680833
"341",341,49,0,1,-1.37255800810081,8,1,NA
"342",342,49,1,2,-1.44946741418142,NA,1,NA
"343",343,49,2,NA,NA,NA,NA,-2.64033736238208
"348",348,50,0,3,-1.54861947837462,7,1,NA
"349",349,50,1,3,-1.47474402615817,NA,1,NA
"350",350,50,2,NA,NA,NA,NA,-3.95294482486364
"355",355,51,0,3,-1.44729871513641,9,1,NA
"356",356,51,1,2,-1.49428943965476,NA,1,NA
"357",357,51,2,NA,NA,NA,NA,-4.58034676336862
"362",362,52,0,3,-1.47389319149689,7,1,NA
"363",363,52,1,1,-1.51007817961337,NA,1,NA
"364",364,52,2,NA,NA,NA,NA,-4.6697367993434
"369",369,53,0,2,-1.48431301569799,8,1,NA
"370",370,53,1,2,-1.35128829141198,NA,1,NA
"371",371,53,2,NA,NA,NA,NA,-4.5882057611098
"376",376,54,0,2,-1.47425985205333,10,1,NA
"377",377,54,1,3,-1.56551810965392,NA,1,NA
"378",378,54,2,NA,NA,NA,NA,-4.62116546328659
"383",383,55,0,3,0.533123342683596,10,1,NA
"384",384,55,1,2,-1.6281932295681,NA,1,NA
"385",385,55,2,NA,NA,NA,NA,-4.71634624083171
"390",390,56,0,2,-1.52743529591432,10,1,NA
"391",391,56,1,2,-1.38478340357976,NA,1,NA
"392",392,56,2,NA,NA,NA,NA,-4.40753130245026
"397",397,57,0,2,-1.51907059429279,7,0,NA
"398",398,57,1,2,0.445183860448548,NA,1,NA
"399",399,57,2,NA,NA,NA,NA,-5.53102019225653
"404",404,58,0,2,-1.67645422005194,5,1,NA
"405",405,58,1,2,-1.55148251933728,NA,0,NA
"406",406,58,2,NA,NA,NA,NA,-4.74837652185324
"411",411,59,0,3,-1.57546412791225,5,0,NA
"412",412,59,1,2,0.654719598143858,NA,0,NA
"413",413,59,2,NA,NA,NA,NA,-4.53733802068682
"418",418,60,0,1,0.524441938315622,8,1,NA
"419",419,60,1,1,-1.5601922175585,NA,0,NA
"420",420,60,2,NA,NA,NA,NA,-5.35462045443632
"425",425,61,0,3,-1.74971095199622,8,1,NA
"426",426,61,1,2,-1.39750121228904,NA,1,NA
"427",427,61,2,NA,NA,NA,NA,-5.34866616240336
"432",432,62,0,2,-1.44152582900182,10,1,NA
"433",433,62,1,2,-1.68632805837741,NA,1,NA
"434",434,62,2,NA,NA,NA,NA,-4.64818408005273
"439",439,63,0,2,0.319235296694548,7,1,NA
"440",440,63,1,1,-1.52619612053347,NA,1,NA
"441",441,63,2,NA,NA,NA,NA,-4.60755696855492
"446",446,64,0,2,-1.60572558986639,10,1,NA
"447",447,64,1,2,-1.62232462239967,NA,1,NA
"448",448,64,2,NA,NA,NA,NA,-5.47652565455228
"453",453,65,0,3,-1.30142445415135,5,1,NA
"454",454,65,1,3,-1.30621561996353,NA,1,NA
"455",455,65,2,NA,NA,NA,NA,-4.68906578150981
"460",460,66,0,2,0.541657311380601,5,0,NA
"461",461,66,1,1,0.570914901556335,NA,1,NA
"462",462,66,2,NA,NA,NA,NA,-5.48371048571448
"467",467,67,0,2,0.386504473860335,5,1,NA
"468",468,67,1,3,-1.24692643850915,NA,1,NA
"469",469,67,2,NA,NA,NA,NA,-5.38318680708992
"474",474,68,0,2,0.492803489315496,6,0,NA
"475",475,68,1,3,0.479656585690677,NA,1,NA
"476",476,68,2,NA,NA,NA,NA,-3.63593105370679
"481",481,69,0,2,-1.3677164398592,10,1,NA
"482",482,69,1,2,-1.29604718435254,NA,1,NA
"483",483,69,2,NA,NA,NA,NA,-5.38050398454663
"488",488,70,0,2,0.480380753377211,5,1,NA
"489",489,70,1,2,-1.39792484275278,NA,0,NA
"490",490,70,2,NA,NA,NA,NA,-1.74222853232091
"495",495,71,0,2,0.49696726141122,8,1,NA
"496",496,71,1,3,-1.47312105470739,NA,0,NA
"497",497,71,2,NA,NA,NA,NA,-1.86696032539607
"502",502,72,0,3,-1.53672417562167,6,1,NA
"503",503,72,1,2,-1.50367642892126,NA,1,NA
"504",504,72,2,NA,NA,NA,NA,-5.49674949720406
"509",509,73,0,2,0.666713143124761,7,1,NA
"510",510,73,1,3,-1.59618361606169,NA,1,NA
"511",511,73,2,NA,NA,NA,NA,-4.70919043657687
"516",516,74,0,2,-1.51638824212721,6,1,NA
"517",517,74,1,3,-1.44475011196353,NA,1,NA
"518",518,74,2,NA,NA,NA,NA,-4.61745229816681
"523",523,75,0,2,-1.61143144952191,5,1,NA
"524",524,75,1,2,-1.47532646773345,NA,1,NA
"525",525,75,2,NA,NA,NA,NA,-2.58925902974608
"530",530,76,0,1,0.414773360164511,8,0,NA
"531",531,76,1,1,0.428701504075323,NA,1,NA
"532",532,76,2,NA,NA,NA,NA,-5.58265645832984
"537",537,77,0,1,-1.41133793642509,10,1,NA
"538",538,77,1,2,-1.40625757941833,NA,1,NA
"539",539,77,2,NA,NA,NA,NA,-5.44106434867588
"544",544,78,0,2,-1.55864647856146,7,1,NA
"545",545,78,1,1,-1.47597491745371,NA,1,NA
"546",546,78,2,NA,NA,NA,NA,-4.58827693284563
"551",551,79,0,2,-1.46643596585698,6,1,NA
"552",552,79,1,2,-1.57874743265418,NA,1,NA
"553",553,79,2,NA,NA,NA,NA,-4.69010901148694
"558",558,80,0,3,-1.34496697929177,7,1,NA
"559",559,80,1,2,-1.59199645468579,NA,0,NA
"560",560,80,2,NA,NA,NA,NA,-4.61594729527902
"565",565,81,0,2,-1.45258975383577,7,1,NA
"566",566,81,1,2,-1.54835273334395,NA,1,NA
"567",567,81,2,NA,NA,NA,NA,-4.68724461356712
"572",572,82,0,2,-1.39140576308076,10,1,NA
"573",573,82,1,2,-1.54646007957998,NA,0,NA
"574",574,82,2,NA,NA,NA,NA,-5.49390164125681
"579",579,83,0,2,-1.46410509847506,5,1,NA
"580",580,83,1,3,-1.30249713373183,NA,1,NA
"581",581,83,2,NA,NA,NA,NA,-4.51289535202787
"586",586,84,0,2,-1.44715936837738,6,0,NA
"587",587,84,1,3,0.348785748735018,NA,1,NA
"588",588,84,2,NA,NA,NA,NA,-3.34557436640591
"593",593,85,0,2,0.514196862320888,7,1,NA
"594",594,85,1,3,-1.59055597367795,NA,1,NA
"595",595,85,2,NA,NA,NA,NA,-4.61592693933813
"600",600,86,0,2,-1.49423250039751,10,1,NA
"601",601,86,1,2,-1.58012025673238,NA,1,NA
"602",602,86,2,NA,NA,NA,NA,-2.58128526375718
"607",607,87,0,2,-1.45840992229097,7,1,NA
"608",608,87,1,2,-1.38571501612772,NA,1,NA
"609",609,87,2,NA,NA,NA,NA,-4.6023561768599
"614",614,88,0,2,-1.55667466658544,6,1,NA
"615",615,88,1,2,-1.47349049612406,NA,0,NA
"616",616,88,2,NA,NA,NA,NA,-3.93310385521563
"621",621,89,0,3,-1.50914486326934,6,1,NA
"622",622,89,1,1,-1.29135210271392,NA,1,NA
"623",623,89,2,NA,NA,NA,NA,-4.52297037769181
"628",628,90,0,2,-1.48116803950178,6,0,NA
"629",629,90,1,2,0.503526625993533,NA,1,NA
"630",630,90,2,NA,NA,NA,NA,-5.44836291434155
"635",635,91,0,2,-1.52413131579467,8,0,NA
"636",636,91,1,2,0.513967919622886,NA,0,NA
"637",637,91,2,NA,NA,NA,NA,-1.70253521635792
"642",642,92,0,3,-1.46714984935813,8,0,NA
"643",643,92,1,1,0.554158699072824,NA,0,NA
"644",644,92,2,NA,NA,NA,NA,-4.66992588995956
"649",649,93,0,2,-1.50348496758953,5,1,NA
"650",650,93,1,2,-1.63188915421323,NA,1,NA
"651",651,93,2,NA,NA,NA,NA,-4.59229076454633
"656",656,94,0,2,0.531874967993473,5,1,NA
"657",657,94,1,3,-1.48883230426739,NA,0,NA
"658",658,94,2,NA,NA,NA,NA,-4.565681905183
"663",663,95,0,3,-1.68225512851849,5,1,NA
"664",664,95,1,2,-1.55369627784362,NA,1,NA
"665",665,95,2,NA,NA,NA,NA,-5.35869511544667
"670",670,96,0,2,-1.64527926447509,9,1,NA
"671",671,96,1,2,-1.19629538692879,NA,1,NA
"672",672,96,2,NA,NA,NA,NA,-4.67187687619507
"677",677,97,0,1,-1.45188156039106,8,1,NA
"678",678,97,1,2,-1.46404761240518,NA,1,NA
"679",679,97,2,NA,NA,NA,NA,-4.57379601950718
"684",684,98,0,3,-1.60955040005614,8,1,NA
"685",685,98,1,3,-1.48433595370997,NA,0,NA
"686",686,98,2,NA,NA,NA,NA,-5.48670796199603
"691",691,99,0,2,-1.48571994429856,5,1,NA
"692",692,99,1,2,-1.51884348905811,NA,1,NA
"693",693,99,2,NA,NA,NA,NA,-5.61187968246232
"698",698,100,0,3,-1.44218164923033,7,1,NA
"699",699,100,1,2,-1.45073861530493,NA,1,NA
"700",700,100,2,NA,NA,NA,NA,-4.47920612357368
"705",705,101,0,2,-1.49286189780102,10,0,NA
"706",706,101,1,3,0.432000118367483,NA,0,NA
"707",707,101,2,NA,NA,NA,NA,-5.54331030785966
"712",712,102,0,3,-1.62811585306095,9,1,NA
"713",713,102,1,3,-1.54120715961971,NA,1,NA
"714",714,102,2,NA,NA,NA,NA,-4.59351115837265
"719",719,103,0,3,-1.50762285788804,7,1,NA
"720",720,103,1,2,-1.40328331131309,NA,1,NA
"721",721,103,2,NA,NA,NA,NA,-4.57811511100239
"726",726,104,0,3,-1.47729684623492,10,1,NA
"727",727,104,1,3,-1.47277070127206,NA,1,NA
"728",728,104,2,NA,NA,NA,NA,-5.56693205751151
"733",733,105,0,2,-1.39778064236254,5,1,NA
"734",734,105,1,3,-1.65323368245452,NA,1,NA
"735",735,105,2,NA,NA,NA,NA,-5.58033057466502
"740",740,106,0,2,0.457840783007013,5,0,NA
"741",741,106,1,3,0.50277685396261,NA,0,NA
"742",742,106,2,NA,NA,NA,NA,-3.38904443174675
"747",747,107,0,1,-1.71060026550987,8,1,NA
"748",748,107,1,3,-1.56614288591214,NA,1,NA
"749",749,107,2,NA,NA,NA,NA,-5.68108038757222
"754",754,108,0,3,-1.51913829088687,6,0,NA
"755",755,108,1,1,0.477166013331084,NA,1,NA
"756",756,108,2,NA,NA,NA,NA,-5.30763819651353
"761",761,109,0,2,-1.50659944357898,9,1,NA
"762",762,109,1,3,-1.46146645058535,NA,1,NA
"763",763,109,2,NA,NA,NA,NA,-4.5909210818465
"768",768,110,0,2,-1.4541726590148,7,1,NA
"769",769,110,1,3,-1.39062250755387,NA,1,NA
"770",770,110,2,NA,NA,NA,NA,-2.68810877988635
"775",775,111,0,3,-1.48530632491078,6,1,NA
"776",776,111,1,2,-1.5364265266148,NA,1,NA
"777",777,111,2,NA,NA,NA,NA,-4.52435236796983
"782",782,112,0,2,0.481152223848436,7,1,NA
"783",783,112,1,3,-1.64047216033274,NA,1,NA
"784",784,112,2,NA,NA,NA,NA,-2.51341415440075
"789",789,113,0,3,-1.49155004148985,9,1,NA
"790",790,113,1,2,-1.65793827829971,NA,1,NA
"791",791,113,2,NA,NA,NA,NA,-3.96772142842142
"796",796,114,0,3,-1.56234112068915,6,0,NA
"797",797,114,1,1,0.509338055836521,NA,1,NA
"798",798,114,2,NA,NA,NA,NA,-4.46454723579177
"803",803,115,0,2,-1.48552333646901,6,1,NA
"804",804,115,1,2,-1.60645883404241,NA,0,NA
"805",805,115,2,NA,NA,NA,NA,-4.60915293404067
"810",810,116,0,3,-1.55639406275412,5,0,NA
"811",811,116,1,2,0.499655979433642,NA,1,NA
"812",812,116,2,NA,NA,NA,NA,-4.68364580390509
"817",817,117,0,2,-1.47310914342761,5,1,NA
"818",818,117,1,2,-1.59261565211418,NA,0,NA
"819",819,117,2,NA,NA,NA,NA,-4.54925619266621
"824",824,118,0,3,-1.5417833711376,8,1,NA
"825",825,118,1,2,-1.60926478081738,NA,1,NA
"826",826,118,2,NA,NA,NA,NA,-1.7249138717585
"831",831,119,0,2,-1.35123672466247,10,1,NA
"832",832,119,1,2,-1.28515427248498,NA,1,NA
"833",833,119,2,NA,NA,NA,NA,-2.58134399387238
"838",838,120,0,3,-1.21534357986505,6,1,NA
"839",839,120,1,2,-1.45530510184206,NA,1,NA
"840",840,120,2,NA,NA,NA,NA,-4.64230411415344
"845",845,121,0,3,-1.55455349693974,5,1,NA
"846",846,121,1,2,-1.55406213342887,NA,0,NA
"847",847,121,2,NA,NA,NA,NA,-3.54941527973578
"852",852,122,0,2,-1.56847347886886,6,1,NA
"853",853,122,1,2,-1.53007184030267,NA,0,NA
"854",854,122,2,NA,NA,NA,NA,-2.60312136637879
"859",859,123,0,3,0.471336954046581,7,0,NA
"860",860,123,1,3,0.465504869238487,NA,1,NA
"861",861,123,2,NA,NA,NA,NA,-3.37256347696715
"866",866,124,0,2,-1.51749886954802,7,0,NA
"867",867,124,1,1,0.44961385527211,NA,1,NA
"868",868,124,2,NA,NA,NA,NA,-5.46127298585074
"873",873,125,0,2,-1.48348275018636,8,1,NA
"874",874,125,1,3,-1.4262137192764,NA,1,NA
"875",875,125,2,NA,NA,NA,NA,-5.50126567459689
"880",880,126,0,2,-1.65584503517786,7,1,NA
"881",881,126,1,2,-1.49891802727411,NA,0,NA
"882",882,126,2,NA,NA,NA,NA,-3.63287598838327
"887",887,127,0,3,-1.53143611903689,8,0,NA
"888",888,127,1,1,0.366713346447016,NA,0,NA
"889",889,127,2,NA,NA,NA,NA,-4.61765027418267
"894",894,128,0,3,-1.43917507172026,8,1,NA
"895",895,128,1,1,-1.46905744352383,NA,0,NA
"896",896,128,2,NA,NA,NA,NA,-3.75108997458551
"901",901,129,0,2,-1.34924216287404,5,0,NA
"902",902,129,1,3,0.526039815198457,NA,0,NA
"903",903,129,2,NA,NA,NA,NA,-3.84603690133182
"908",908,130,0,2,-1.52026113465005,5,1,NA
"909",909,130,1,2,-1.40459338415551,NA,0,NA
"910",910,130,2,NA,NA,NA,NA,-3.81944999730566
"915",915,131,0,2,0.218558665922697,10,1,NA
"916",916,131,1,2,-1.48773830042548,NA,1,NA
"917",917,131,2,NA,NA,NA,NA,-3.70350718241797
"922",922,132,0,2,-1.46640421854661,10,1,NA
"923",923,132,1,3,-1.61731414719715,NA,1,NA
"924",924,132,2,NA,NA,NA,NA,-5.42546546709223
"929",929,133,0,2,-1.45157073939659,8,0,NA
"930",930,133,1,3,0.418481358807828,NA,0,NA
"931",931,133,2,NA,NA,NA,NA,-3.7021029482361
"936",936,134,0,2,-1.57298327368268,6,1,NA
"937",937,134,1,1,-1.47237131730177,NA,0,NA
"938",938,134,2,NA,NA,NA,NA,-3.81779937630911
"943",943,135,0,2,-1.40860995859667,8,1,NA
"944",944,135,1,2,-1.42558330240643,NA,1,NA
"945",945,135,2,NA,NA,NA,NA,-2.53092369679048
"950",950,136,0,1,-1.46325881863485,7,1,NA
"951",951,136,1,1,-1.60110122040114,NA,1,NA
"952",952,136,2,NA,NA,NA,NA,-3.45115184725841
"957",957,137,0,1,-1.48277956741375,10,0,NA
"958",958,137,1,2,0.682538781451635,NA,1,NA
"959",959,137,2,NA,NA,NA,NA,-1.69747579479102
"964",964,138,0,2,0.44884737528813,10,1,NA
"965",965,138,1,3,-1.57286486700445,NA,0,NA
"966",966,138,2,NA,NA,NA,NA,-4.6801907474529
"971",971,139,0,2,-1.39773771108586,5,1,NA
"972",972,139,1,2,-1.498423234994,NA,1,NA
"973",973,139,2,NA,NA,NA,NA,-4.40821746790963
"978",978,140,0,2,-1.32577615046215,10,1,NA
"979",979,140,1,2,-1.5487213204915,NA,1,NA
"980",980,140,2,NA,NA,NA,NA,-5.44311837984455
"985",985,141,0,3,-1.5037008342102,7,0,NA
"986",986,141,1,2,0.4157638056038,NA,0,NA
"987",987,141,2,NA,NA,NA,NA,-3.82077560434579
"992",992,142,0,3,-1.66275541480181,8,1,NA
"993",993,142,1,3,-1.40544507025287,NA,1,NA
"994",994,142,2,NA,NA,NA,NA,-5.43385750552559
"999",999,143,0,2,-1.66382871866152,9,1,NA
"1000",1000,143,1,3,-1.42338756564111,NA,1,NA
"1001",1001,143,2,NA,NA,NA,NA,-3.6433092164321
"1006",1006,144,0,2,0.404781244377741,5,1,NA
"1007",1007,144,1,3,-1.50766433844016,NA,1,NA
"1008",1008,144,2,NA,NA,NA,NA,-4.50758808772121
"1013",1013,145,0,2,-1.36014257072644,5,0,NA
"1014",1014,145,1,1,0.554754063209245,NA,0,NA
"1015",1015,145,2,NA,NA,NA,NA,-1.85183054500867
"1020",1020,146,0,1,-1.38774962959729,9,1,NA
"1021",1021,146,1,2,-1.53043393943918,NA,1,NA
"1022",1022,146,2,NA,NA,NA,NA,-4.61876114714849
"1027",1027,147,0,2,-1.49885556840495,7,1,NA
"1028",1028,147,1,2,-1.38706504794361,NA,1,NA
"1029",1029,147,2,NA,NA,NA,NA,-4.6867540217247
"1034",1034,148,0,3,0.379815176302803,10,1,NA
"1035",1035,148,1,3,-1.44870561424361,NA,0,NA
"1036",1036,148,2,NA,NA,NA,NA,-5.4735550955561
"1041",1041,149,0,3,-1.71348327372257,8,1,NA
"1042",1042,149,1,3,-1.3869778811095,NA,1,NA
"1043",1043,149,2,NA,NA,NA,NA,-5.47116443753562
"1048",1048,150,0,1,-1.67192956095034,8,0,NA
"1049",1049,150,1,1,0.518849708734905,NA,1,NA
"1050",1050,150,2,NA,NA,NA,NA,-5.52748274381874
"1055",1055,151,0,2,-1.5397279304752,10,1,NA
"1056",1056,151,1,3,-1.40911368712951,NA,1,NA
"1057",1057,151,2,NA,NA,NA,NA,-4.5540510120911
"1062",1062,152,0,3,0.343395331729775,7,1,NA
"1063",1063,152,1,3,-1.51653477870608,NA,0,NA
"1064",1064,152,2,NA,NA,NA,NA,-1.67778138534041
"1069",1069,153,0,2,-1.3854344294074,9,1,NA
"1070",1070,153,1,3,-1.56106704297688,NA,1,NA
"1071",1071,153,2,NA,NA,NA,NA,-4.54509377654269
"1076",1076,154,0,2,-1.50239160510649,9,0,NA
"1077",1077,154,1,3,0.805759189569204,NA,1,NA
"1078",1078,154,2,NA,NA,NA,NA,-4.46798543465387
"1083",1083,155,0,3,-1.34160218369916,5,1,NA
"1084",1084,155,1,3,-1.4315785748289,NA,0,NA
"1085",1085,155,2,NA,NA,NA,NA,-2.4561605143197
"1090",1090,156,0,3,-1.37885492764488,8,1,NA
"1091",1091,156,1,2,-1.42457749160171,NA,0,NA
"1092",1092,156,2,NA,NA,NA,NA,-5.35698804719576
"1097",1097,157,0,3,-1.59305256748658,7,1,NA
"1098",1098,157,1,2,-1.40909297437237,NA,1,NA
"1099",1099,157,2,NA,NA,NA,NA,-4.71432243628683
"1104",1104,158,0,2,-1.51878285890177,10,1,NA
"1105",1105,158,1,1,-1.48124148481591,NA,1,NA
"1106",1106,158,2,NA,NA,NA,NA,-5.34148240043024
"1111",1111,159,0,2,-1.59405174280321,8,1,NA
"1112",1112,159,1,2,-1.54526843936729,NA,0,NA
"1113",1113,159,2,NA,NA,NA,NA,-5.4641299188011
"1118",1118,160,0,2,0.456721737440364,9,1,NA
"1119",1119,160,1,2,-1.41012200332211,NA,1,NA
"1120",1120,160,2,NA,NA,NA,NA,-4.47900684412265
"1125",1125,161,0,3,-1.36600577762574,5,1,NA
"1126",1126,161,1,3,-1.73398315172734,NA,1,NA
"1127",1127,161,2,NA,NA,NA,NA,-5.35126432142227
"1132",1132,162,0,2,-1.45385883925825,9,1,NA
"1133",1133,162,1,2,-1.41308881974112,NA,1,NA
"1134",1134,162,2,NA,NA,NA,NA,-2.76710184133835
"1139",1139,163,0,2,0.439718581503671,8,1,NA
"1140",1140,163,1,2,-1.52081174885667,NA,1,NA
"1141",1141,163,2,NA,NA,NA,NA,-3.66323865661258
"1146",1146,164,0,2,-1.40504779964192,9,1,NA
